Single
3648
Scan 0,   
1626, 94.0
1627, 96.0
1628, 93.0
1629, 97.0
1630, 95.0
1631, 93.0
1632, 94.0
1633, 95.0
1634, 93.0
1635, 98.0
1636, 93.0
1637, 96.0
1638, 95.0
1639, 98.0
1640, 95.0
1641, 95.0
1642, 96.0
1643, 95.0
1644, 99.0
1645, 95.0
1646, 90.0
1647, 96.0
1648, 98.0
1649, 95.0
1650, 97.0
1651, 95.0
1652, 94.0
1653, 90.0
1654,100.0
1655, 95.0
1656, 97.0
1657, 95.0
1658, 94.0
1659, 94.0
1660, 93.0
1661, 96.0
1662, 92.0
1663, 95.0
1664, 94.0
1665, 99.0
1666, 95.0
1667, 98.0
1668, 89.0
1669, 95.0
1670, 93.0
1671, 96.0
1672, 96.0
1673, 95.0
1674, 92.0
1675, 94.0
1676, 91.0
1677, 99.0
1678, 96.0
1679, 96.0
1680, 94.0
1681, 94.0
1682, 91.0
1683, 95.0
1684, 96.0
1685, 96.0
1686, 97.0
1687, 93.0
1688, 94.0
1689,100.0
1690, 93.0
1691, 95.0
1692, 95.0
1693, 98.0
1694, 91.0
1695, 96.0
1696,103.0
1697, 94.0
1698, 98.0
1699, 97.0
1700, 97.0
1701, 97.0
1702, 95.0
1703, 95.0
1704, 97.0
1705, 97.0
1706, 95.0
1707,102.0
1708, 98.0
1709, 98.0
1710, 94.0
1711, 98.0
1712, 96.0
1713, 98.0
1714, 97.0
1715,103.0
1716, 97.0
1717, 94.0
1718, 95.0
1719,100.0
1720, 92.0
1721, 95.0
1722, 96.0
1723, 97.0
1724,102.0
1725, 94.0
1726, 98.0
1727, 94.0
1728, 96.0
1729, 96.0
1730, 97.0
1731, 98.0
1732, 94.0
1733, 98.0
1734, 95.0
1735, 95.0
1736, 96.0
1737, 96.0
1738, 98.0
1739, 96.0
1740, 95.0
1741,101.0
1742,103.0
1743, 97.0
1744, 99.0
1745,102.0
1746, 98.0
1747, 98.0
1748, 93.0
1749, 99.0
1750,101.0
1751,101.0
1752, 98.0
1753,104.0
1754,105.0
1755, 98.0
1756,106.0
1757,101.0
1758,101.0
1759,102.0
1760,107.0
1761,102.0
1762,104.0
1763,110.0
1764,110.0
1765,113.0
1766,116.0
1767,106.0
1768,106.0
1769,107.0
1770,108.0
1771,116.0
1772,113.0
1773,120.0
1774,119.0
1775,118.0
1776,113.0
1777,112.0
1778,114.0
1779,123.0
1780,138.0
1781,141.0
1782,139.0
1783,138.0
1784,125.0
1785,125.0
1786,138.0
1787,175.0
1788,213.0
1789,237.0
1790,229.0
1791,198.0
1792,172.0
1793,184.0
1794,278.0
1795,470.0
1796,820.0
1797,1310.0
1798,1830.0
1799,2300.0
1800,2440.0
1801,2300.0
1802,1837.0
1803,1292.0
1804,766.0
1805,417.0
1806,248.0
1807,191.0
1808,167.0
1809,188.0
1810,194.0
1811,200.0
1812,181.0
1813,170.0
1814,153.0
1815,131.0
1816,120.0
1817,116.0
1818,121.0
1819,125.0
1820,124.0
1821,125.0
1822,130.0
1823,124.0
1824,121.0
1825,116.0
1826,110.0
1827,105.0
1828,103.0
1829,109.0
1830,110.0
1831,112.0
1832,110.0
1833,109.0
1834,106.0
1835,109.0
1836,107.0
1837,107.0
1838, 99.0
1839,103.0
1840,104.0
1841,105.0
1842,102.0
1843,104.0
1844,101.0
1845,100.0
1846,102.0
1847, 97.0
1848,104.0
1849,104.0
1850,103.0
1851,103.0
1852,104.0
1853, 99.0
1854, 98.0
1855,103.0
1856, 94.0
1857,101.0
1858,101.0
1859, 98.0
1860, 97.0
1861, 99.0
1862,103.0
1863, 96.0
1864,100.0
1865, 97.0
1866, 96.0
1867, 94.0
1868, 99.0
1869, 95.0
1870, 99.0
1871, 98.0
1872, 99.0
1873, 95.0
1874,102.0
1875, 99.0
1876, 96.0
1877, 97.0
1878, 97.0
1879, 97.0
1880, 95.0
1881, 96.0
1882, 95.0
1883, 93.0
1884, 97.0
1885, 93.0
1886, 96.0
1887, 96.0
1888, 97.0
1889, 99.0
