Single
3648
Scan 0,   
1505, 90.0
1506, 91.0
1507, 87.0
1508, 88.0
1509, 92.0
1510, 89.0
1511, 89.0
1512, 86.0
1513, 90.0
1514, 96.0
1515, 92.0
1516, 93.0
1517, 93.0
1518, 87.0
1519, 91.0
1520, 89.0
1521, 91.0
1522, 90.0
1523, 92.0
1524, 90.0
1525, 91.0
1526, 89.0
1527, 92.0
1528, 93.0
1529, 89.0
1530, 95.0
1531, 90.0
1532, 91.0
1533, 88.0
1534, 87.0
1535, 90.0
1536, 86.0
1537, 93.0
1538, 90.0
1539, 87.0
1540, 93.0
1541, 96.0
1542, 94.0
1543, 88.0
1544, 90.0
1545, 90.0
1546, 89.0
1547, 90.0
1548, 93.0
1549, 95.0
1550, 88.0
1551, 90.0
1552, 96.0
1553, 92.0
1554, 90.0
1555, 90.0
1556, 90.0
1557, 89.0
1558, 88.0
1559, 95.0
1560, 92.0
1561, 93.0
1562, 90.0
1563, 88.0
1564, 90.0
1565, 90.0
1566, 89.0
1567, 94.0
1568, 94.0
1569, 91.0
1570, 94.0
1571, 90.0
1572, 93.0
1573, 88.0
1574, 90.0
1575, 90.0
1576, 88.0
1577, 90.0
1578, 95.0
1579, 92.0
1580, 93.0
1581, 90.0
1582, 93.0
1583, 92.0
1584, 89.0
1585, 90.0
1586, 96.0
1587, 91.0
1588, 91.0
1589, 89.0
1590, 91.0
1591, 92.0
1592, 89.0
1593, 93.0
1594, 91.0
1595, 90.0
1596, 90.0
1597, 95.0
1598, 90.0
1599, 91.0
1600, 92.0
1601, 89.0
1602, 92.0
1603, 91.0
1604, 90.0
1605, 88.0
1606, 96.0
1607, 86.0
1608, 92.0
1609, 95.0
1610, 93.0
1611, 90.0
1612, 94.0
1613, 94.0
1614, 92.0
1615, 90.0
1616, 88.0
1617, 94.0
1618, 90.0
1619, 92.0
1620, 90.0
1621, 92.0
1622, 91.0
1623, 92.0
1624, 87.0
1625, 92.0
1626, 91.0
1627, 95.0
1628, 92.0
1629, 85.0
1630, 87.0
1631, 92.0
1632, 95.0
1633, 90.0
1634, 92.0
1635, 91.0
1636, 88.0
1637, 90.0
1638, 93.0
1639, 89.0
1640, 89.0
1641, 90.0
1642, 92.0
1643, 92.0
1644, 89.0
1645, 89.0
1646, 92.0
1647, 92.0
1648, 89.0
1649, 88.0
1650, 87.0
1651, 93.0
1652, 90.0
1653, 92.0
1654, 91.0
1655, 95.0
1656, 94.0
1657, 89.0
1658, 88.0
1659, 95.0
1660, 91.0
1661, 93.0
1662, 90.0
1663, 90.0
1664, 88.0
1665, 92.0
1666, 96.0
1667, 88.0
1668, 87.0
1669, 91.0
1670, 89.0
1671, 90.0
1672, 87.0
1673, 93.0
1674, 93.0
1675, 88.0
1676, 91.0
1677, 89.0
1678, 90.0
1679, 94.0
1680, 86.0
1681, 95.0
1682, 93.0
1683, 94.0
1684, 90.0
1685, 90.0
1686, 93.0
1687, 94.0
1688, 87.0
1689, 92.0
1690, 95.0
1691, 92.0
1692, 90.0
1693, 94.0
1694, 93.0
1695, 96.0
1696, 89.0
1697, 95.0
1698, 88.0
1699, 92.0
1700, 91.0
1701, 92.0
1702, 89.0
1703, 91.0
1704, 86.0
1705, 97.0
1706, 92.0
1707, 95.0
1708, 90.0
1709, 90.0
1710, 92.0
1711, 90.0
1712, 92.0
1713, 89.0
1714, 92.0
1715, 90.0
1716, 92.0
1717, 88.0
1718, 88.0
1719, 90.0
1720, 90.0
1721, 91.0
1722, 95.0
1723, 93.0
1724, 90.0
1725, 87.0
1726, 92.0
1727, 87.0
1728, 85.0
1729, 94.0
1730, 93.0
1731, 96.0
1732, 90.0
1733, 91.0
1734, 94.0
1735, 91.0
1736, 95.0
1737, 90.0
1738, 87.0
1739, 91.0
1740, 96.0
1741, 91.0
1742, 87.0
1743, 96.0
1744, 92.0
1745, 87.0
1746, 88.0
1747, 91.0
1748, 94.0
1749, 90.0
1750, 90.0
1751, 92.0
1752, 90.0
1753, 88.0
1754, 93.0
1755, 94.0
1756, 88.0
1757, 96.0
1758, 93.0
1759,101.0
1760, 96.0
1761, 92.0
1762, 90.0
1763, 92.0
1764, 90.0
1765, 90.0
1766, 93.0
1767, 86.0
1768, 95.0
1769, 93.0
1770, 88.0
1771, 90.0
1772, 90.0
1773, 91.0
1774, 91.0
1775, 91.0
1776, 88.0
1777, 89.0
1778, 95.0
1779, 92.0
1780, 93.0
